car_id,company,model,year,kilometers_driven,fuel_type,transmission,owner,car_condition,insurance_status,previous_accidents,num_doors,engine_size,power,Price,city,emission_norm,insurance_eligible,maintenance_level,predicted_price,listing_type,is_certified,price_with_gst,is_synthetic
18.0,Maruti,Maruti Suzuki Alto,2014,35550,Petrol,Manual,2nd,Good,Yes,0.0,4.0,1173.0,101.0,160000.0,Delhi,BS-IV,Yes,Medium,175838.22,Dealer,Yes,,
19.0,Mahindra,Mahindra Scorpio S10,2016,43000,Diesel,Automatic,4th+,Fair,Yes,0.0,5.0,2556.0,90.0,350000.0,Hyderabad,BS-IV,Yes,Low,353537.98,Dealer,No,,
20.0,Mahindra,Mahindra Scorpio S10,2016,39522,Diesel,Automatic,2nd,Good,Yes,0.0,5.0,2405.0,186.0,310000.0,Kolkata,BS-IV,Yes,Low,329300.51,Dealer,Yes,,
21.0,Maruti,Maruti Suzuki Alto,2015,39000,Petrol,Automatic,2nd,Good,No,0.0,4.0,1286.0,83.0,75000.0,Bangalore,BS-IV,Yes,Low,71758.0,Individual,No,,
22.0,Hyundai,Hyundai i20 Sportz,2012,55000,Petrol,Automatic,1st,Good,Yes,0.0,4.0,1028.0,55.0,100000.0,Chennai,BS-IV,Yes,Medium,102230.9,Dealer,Yes,,
23.0,Hyundai,Hyundai i20 Sportz,2012,55000,Petrol,Automatic,2nd,Good,No,0.0,4.0,1514.0,54.0,100000.0,Mumbai,BS-IV,Yes,Medium,106857.33,Individual,No,,
24.0,Hyundai,Hyundai i20 Sportz,2012,55000,Petrol,Automatic,3rd,Good,No,0.0,4.0,1197.0,62.0,100000.0,Bangalore,BS-IV,Yes,Medium,108897.31,Dealer,Yes,,
25.0,Maruti,Maruti Suzuki Alto,2017,72000,Petrol,Automatic,2nd,Fair,No,0.0,4.0,1008.0,106.0,190000.0,Pune,BS-IV,Yes,Low,199734.25,Individual,No,,
26.0,Maruti,Maruti Suzuki Vitara,2016,15975,Diesel,Automatic,3rd,Poor,No,0.0,4.0,1114.0,81.0,290000.0,Kolkata,BS-IV,No,Low,320253.2,Individual,No,,
27.0,Maruti,Maruti Suzuki Alto,2008,70000,Petrol,Manual,2nd,Excellent,No,2.0,4.0,1512.0,63.0,95000.0,Chennai,BS-III,Yes,Medium,93732.71,Dealer,Yes,,
28.0,Mahindra,Mahindra Bolero DI,2017,23452,Diesel,Manual,4th+,Poor,No,0.0,4.0,2219.0,164.0,180000.0,Hyderabad,BS-IV,No,Low,160240.52,Individual,No,,
29.0,Maruti,Maruti Suzuki Swift,2014,35522,Diesel,Automatic,4th+,Poor,No,0.0,4.0,1544.0,79.0,385000.0,Bangalore,BS-IV,No,Medium,390609.92,Individual,No,,
30.0,Mahindra,Mahindra Scorpio S10,2015,48508,Diesel,Manual,2nd,Poor,Yes,1.0,5.0,2219.0,150.0,250000.0,Bangalore,BS-IV,No,Low,246376.3,Individual,No,,
31.0,Maruti,Maruti Suzuki Swift,2017,15487,Petrol,Automatic,4th+,Poor,No,1.0,4.0,1260.0,77.0,180000.0,Kolkata,BS-IV,No,Medium,198874.37,Dealer,No,,
32.0,Maruti,Maruti Suzuki Wagon,2013,39000,Petrol,Manual,2nd,Poor,Yes,0.0,4.0,801.0,84.0,105000.0,Pune,BS-IV,No,Low,102052.7,Individual,No,,
33.0,Maruti,Maruti Suzuki Wagon,2013,39000,Petrol,Manual,2nd,Excellent,No,0.0,4.0,994.0,53.0,105000.0,Kolkata,BS-IV,Yes,Low,92615.91,Dealer,Yes,,
34.0,Toyota,Toyota Innova 2.0,2012,82000,Diesel,Automatic,1st,Excellent,No,0.0,5.0,2607.0,174.0,650000.0,Chennai,BS-IV,Yes,Low,696501.46,Individual,No,,
35.0,Renault,Renault Lodgy 85,2018,20000,Diesel,Automatic,2nd,Poor,Yes,0.0,4.0,1588.0,66.0,689999.0,Bangalore,BS-IV,No,High,676888.56,Individual,No,,
36.0,Skoda,Skoda Yeti Ambition,2012,68000,Diesel,Manual,1st,Good,Yes,0.0,4.0,1732.0,97.0,448000.0,Chennai,BS-IV,Yes,High,502269.21,Individual,No,,
37.0,Maruti,Maruti Suzuki Baleno,2017,32000,Diesel,Automatic,4th+,Good,Yes,0.0,4.0,1388.0,105.0,549000.0,Mumbai,BS-IV,Yes,Low,630176.51,Individual,No,,
38.0,Renault,Renault Duster 110,2012,38000,Diesel,Manual,2nd,Fair,No,0.0,4.0,1088.0,89.0,501000.0,Hyderabad,BS-IV,Yes,High,530461.24,Individual,No,,
39.0,Renault,Renault Duster 85,2013,27000,Diesel,Manual,3rd,Good,No,0.0,4.0,1521.0,56.0,489999.0,Chennai,BS-IV,Yes,Low,506312.14,Dealer,Yes,,
40.0,Honda,Honda City 1.5,2011,33000,Petrol,Automatic,3rd,Poor,Yes,0.0,4.0,2662.0,222.0,280000.0,Delhi,BS-IV,No,Medium,290707.01,Individual,No,,
41.0,Maruti,Maruti Suzuki Alto,2015,60000,Petrol,Automatic,4th+,Good,No,0.0,4.0,1133.0,65.0,250000.0,Kolkata,BS-IV,Yes,Low,241285.82,Individual,No,,
42.0,Maruti,Maruti Suzuki Dzire,2013,46000,Diesel,Manual,1st,Fair,No,0.0,4.0,902.0,45.0,349999.0,Chennai,BS-IV,Yes,Medium,335137.39,Individual,No,,
43.0,Honda,Honda Amaze,2013,46000,Diesel,Manual,4th+,Fair,Yes,0.0,4.0,2870.0,87.0,284999.0,Kolkata,BS-IV,Yes,High,276953.9,Dealer,No,,
44.0,Honda,Honda Amaze 1.5,2015,36000,Diesel,Automatic,2nd,Poor,Yes,0.0,4.0,2055.0,102.0,345000.0,Delhi,BS-IV,No,Low,368340.3,Dealer,No,,
45.0,Honda,Honda City,2015,55000,Petrol,Manual,2nd,Poor,No,0.0,4.0,2891.0,96.0,499999.0,Bangalore,BS-IV,No,Medium,516783.19,Individual,No,,
46.0,Datsun,Datsun Redi GO,2017,16000,Petrol,Automatic,3rd,Good,No,0.0,4.0,1443.0,50.0,235000.0,Delhi,BS-IV,Yes,High,210722.65,Individual,No,,
47.0,Maruti,Maruti Suzuki SX4,2010,36000,Petrol,Manual,3rd,Poor,No,0.0,4.0,850.0,91.0,249999.0,Delhi,BS-IV,No,Low,213018.88,Individual,No,,
48.0,Mitsubishi,Mitsubishi Pajero Sport,2015,47000,Diesel,Manual,1st,Fair,Yes,0.0,4.0,1984.0,151.0,1475000.0,Bangalore,BS-IV,Yes,Medium,1606154.41,Individual,No,,
49.0,Mahindra,Mahindra Bolero DI,2017,23452,Diesel,Manual,3rd,Excellent,No,0.0,4.0,2448.0,158.0,180000.0,Bangalore,BS-IV,Yes,Low,177386.07,Individual,No,,
50.0,Maruti,Maruti Suzuki Swift,2014,35522,Diesel,Manual,4th+,Good,Yes,0.0,4.0,1127.0,107.0,385000.0,Kolkata,BS-IV,Yes,Medium,424037.86,Dealer,Yes,,
51.0,Mahindra,Mahindra Scorpio S10,2015,48508,Diesel,Automatic,1st,Poor,No,1.0,5.0,2700.0,210.0,250000.0,Hyderabad,BS-IV,No,Low,241611.19,Dealer,No,,
52.0,Maruti,Maruti Suzuki Swift,2017,15487,Petrol,Manual,3rd,Poor,No,3.0,4.0,1316.0,71.0,180000.0,Kolkata,BS-IV,No,Low,197575.42,Dealer,No,,
53.0,Maruti,Maruti Suzuki Wagon,2013,39000,Petrol,Manual,3rd,Good,No,2.0,4.0,1506.0,105.0,105000.0,Chennai,BS-IV,Yes,Medium,117342.01,Individual,No,,
54.0,Maruti,Maruti Suzuki Wagon,2013,39000,Petrol,Automatic,1st,Fair,Yes,0.0,4.0,1179.0,114.0,105000.0,Chennai,BS-IV,Yes,Low,116531.61,Dealer,No,,
55.0,Mahindra,Mahindra Scorpio S10,2015,35000,Diesel,Manual,2nd,Poor,Yes,2.0,5.0,2808.0,137.0,395000.0,Delhi,BS-IV,No,Low,345885.79,Individual,No,,
56.0,Maruti,Maruti Suzuki Swift,2017,30874,Petrol,Manual,4th+,Good,No,2.0,4.0,1116.0,69.0,220000.0,Pune,BS-IV,Yes,Medium,243758.81,Individual,No,,
57.0,Honda,Honda City ZX,2017,15000,Diesel,Manual,4th+,Fair,Yes,0.0,4.0,1585.0,160.0,170000.0,Chennai,BS-IV,Yes,Low,159129.19,Dealer,No,,
58.0,Maruti,Maruti Suzuki Wagon,2013,29685,Petrol,Automatic,2nd,Poor,No,0.0,4.0,1248.0,105.0,85000.0,Pune,BS-IV,No,Low,91542.91,Individual,No,,
59.0,Ford,Ford Figo,2012,41000,Diesel,Automatic,3rd,Excellent,Yes,0.0,4.0,1481.0,105.0,175000.0,Hyderabad,BS-IV,Yes,Low,197130.1,Dealer,Yes,,
60.0,Hyundai,Hyundai Eon,2013,25000,Petrol,Manual,1st,Good,No,1.0,4.0,1412.0,89.0,190000.0,Bangalore,BS-IV,Yes,Low,164648.04,Individual,No,,
61.0,Tata,Tata Indigo eCS,2017,130000,Diesel,Manual,3rd,Fair,No,0.0,4.0,1032.0,88.0,200000.0,Bangalore,BS-IV,Yes,Low,192058.3,Dealer,No,,
62.0,Ford,Ford EcoSport Ambiente,2016,24530,Diesel,Automatic,2nd,Good,No,0.0,4.0,891.0,101.0,830000.0,Chennai,BS-IV,Yes,Medium,881364.94,Individual,No,,
63.0,Tata,Tata Indigo eCS,2017,130000,Diesel,Manual,4th+,Poor,No,0.0,4.0,1236.0,71.0,200000.0,Delhi,BS-IV,No,Low,182627.52,Dealer,No,,
64.0,Mahindra,Mahindra Scorpio SLE,2012,19000,Diesel,Manual,2nd,Poor,No,0.0,5.0,2576.0,141.0,570000.0,Delhi,BS-IV,No,Medium,507914.9,Individual,No,,
65.0,Volkswagen,Volkswagen Polo Highline,2014,60000,Petrol,Automatic,4th+,Fair,Yes,2.0,4.0,2858.0,220.0,315000.0,Pune,BS-IV,Yes,Medium,280158.05,Individual,No,,
66.0,Skoda,Skoda Fabia Classic,2010,60000,Petrol,Manual,3rd,Poor,Yes,1.0,4.0,2104.0,176.0,182000.0,Delhi,BS-IV,No,Medium,171653.05,Individual,No,,
67.0,Maruti,Maruti Suzuki Stingray,2015,30000,Petrol,Manual,3rd,Good,Yes,0.0,4.0,1310.0,50.0,315000.0,Bangalore,BS-IV,Yes,Low,294637.31,Dealer,Yes,,
68.0,Chevrolet,Chevrolet Spark LS,2010,41000,Petrol,Manual,2nd,Fair,Yes,0.0,4.0,940.0,92.0,110000.0,Bangalore,BS-IV,Yes,High,95819.96,Individual,No,,
69.0,Renault,Renault Duster 110PS,2012,35000,Diesel,Manual,3rd,Poor,Yes,2.0,4.0,1274.0,67.0,501000.0,Hyderabad,BS-IV,No,Low,461073.43,Dealer,No,,
70.0,Honda,Honda City,2015,54000,Petrol,Automatic,4th+,Poor,Yes,0.0,4.0,2609.0,250.0,448999.0,Bangalore,BS-IV,No,High,453023.29,Dealer,No,,
71.0,Mini,Mini Cooper S,2013,13000,Petrol,Manual,1st,Good,Yes,0.0,4.0,2106.0,116.0,1891111.0,Pune,BS-IV,Yes,Low,2127491.35,Dealer,Yes,,
72.0,Datsun,Datsun Redi GO,2017,16000,Petrol,Manual,1st,Fair,No,0.0,4.0,1348.0,64.0,235000.0,Bangalore,BS-IV,Yes,Low,209607.82,Dealer,No,,
73.0,Skoda,Skoda Fabia 1.2L,2011,38200,Diesel,Automatic,3rd,Poor,Yes,0.0,4.0,2301.0,148.0,159500.0,Hyderabad,BS-IV,No,Medium,157480.37,Dealer,No,,
74.0,Honda,Honda Amaze,2015,22000,Petrol,Manual,1st,Excellent,Yes,2.0,4.0,2133.0,146.0,344999.0,Mumbai,BS-IV,Yes,High,350129.41,Individual,No,,
75.0,Honda,Honda Amaze,2015,22000,Petrol,Manual,1st,Poor,Yes,4.0,4.0,1930.0,130.0,344999.0,Bangalore,BS-IV,No,Medium,321493.73,Dealer,No,,
76.0,Renault,Renault Duster,2014,50000,Diesel,Automatic,1st,Excellent,Yes,0.0,4.0,1504.0,97.0,449999.0,Delhi,BS-IV,Yes,High,442478.05,Dealer,Yes,,
77.0,Mini,Mini Cooper S,2013,13500,Petrol,Automatic,4th+,Poor,Yes,0.0,4.0,1672.0,298.0,1891111.0,Bangalore,BS-IV,No,High,1701859.52,Individual,No,,
78.0,Mahindra,Mahindra Scorpio S4,2015,30000,Diesel,Manual,1st,Excellent,Yes,0.0,5.0,1727.0,131.0,865000.0,Pune,BS-IV,Yes,Low,830231.68,Individual,No,,
79.0,Mahindra,Mahindra Scorpio VLX,2014,50000,Diesel,Automatic,4th+,Excellent,No,0.0,5.0,1939.0,186.0,699000.0,Chennai,BS-IV,Yes,Low,738152.37,Individual,No,,
80.0,Mahindra,Mahindra Quanto C8,2013,20000,Diesel,Manual,3rd,Fair,Yes,0.0,4.0,1768.0,135.0,375000.0,Pune,BS-IV,Yes,Medium,354803.1,Dealer,No,,
81.0,Ford,Ford EcoSport,2017,39000,Petrol,Automatic,3rd,Poor,No,0.0,4.0,1403.0,101.0,489999.0,Chennai,BS-IV,No,High,422480.21,Individual,No,,
82.0,Honda,Honda Brio,2012,30000,Petrol,Automatic,1st,Good,Yes,0.0,4.0,2650.0,228.0,224999.0,Pune,BS-IV,Yes,Low,229521.78,Dealer,Yes,,
83.0,Volkswagen,Volkswagen Vento Highline,2019,3600,Diesel,Automatic,1st,Poor,Yes,1.0,4.0,2499.0,216.0,1200000.0,Delhi,BS-IV,No,Medium,1251386.1,Individual,No,,
84.0,Hyundai,Hyundai i20 Magna,2009,32000,Petrol,Automatic,2nd,Good,Yes,0.0,4.0,1038.0,57.0,195000.0,Hyderabad,BS-III,Yes,Low,224209.5,Individual,No,,
85.0,Toyota,Toyota Corolla Altis,2010,38000,Diesel,Automatic,3rd,Good,No,1.0,4.0,2158.0,149.0,351000.0,Pune,BS-IV,Yes,High,305505.13,Dealer,Yes,,
86.0,Hyundai,Hyundai Verna Transform,2008,45000,Petrol,Manual,1st,Fair,No,0.0,4.0,1122.0,56.0,160000.0,Pune,BS-III,Yes,Low,157757.93,Individual,No,,
87.0,Toyota,Toyota Corolla Altis,2009,35000,Petrol,Manual,1st,Good,No,0.0,4.0,2397.0,174.0,240000.0,Bangalore,BS-III,Yes,Low,241933.66,Individual,No,,
88.0,Honda,Honda City 1.5,2005,50000,Petrol,Automatic,1st,Poor,Yes,0.0,4.0,2346.0,129.0,90000.0,Pune,BS-III,No,High,91795.22,Individual,No,,
89.0,Hyundai,Hyundai Elite i20,2014,32000,Petrol,Automatic,1st,Excellent,Yes,1.0,4.0,877.0,71.0,415000.0,Chennai,BS-IV,Yes,Medium,458672.48,Dealer,Yes,,
90.0,Skoda,Skoda Fabia 1.2L,2011,45863,Diesel,Manual,4th+,Good,No,3.0,4.0,2560.0,162.0,155000.0,Kolkata,BS-IV,Yes,High,154908.6,Individual,No,,
91.0,BMW,BMW 3 Series,2011,60500,Petrol,Automatic,2nd,Poor,Yes,0.0,4.0,1417.0,188.0,600000.0,Chennai,BS-IV,No,High,640850.06,Dealer,No,,
92.0,Maruti,Maruti Suzuki A,2011,12500,Petrol,Manual,2nd,Excellent,No,3.0,4.0,1001.0,100.0,189500.0,Kolkata,BS-IV,Yes,Low,174490.33,Dealer,Yes,,
93.0,Toyota,Toyota Etios GD,2013,60000,Diesel,Manual,3rd,Excellent,No,0.0,4.0,2270.0,81.0,350000.0,Mumbai,BS-IV,Yes,Medium,315955.06,Dealer,Yes,,
94.0,Ford,Ford Figo Diesel,2012,35000,Diesel,Manual,4th+,Excellent,Yes,0.0,4.0,1228.0,57.0,210000.0,Hyderabad,BS-IV,Yes,Medium,216654.38,Dealer,Yes,,
95.0,Maruti,Maruti Suzuki Swift,2014,35000,Petrol,Manual,2nd,Poor,No,0.0,4.0,1580.0,116.0,390000.0,Delhi,BS-IV,No,Low,396097.14,Dealer,No,,
96.0,Chevrolet,Chevrolet Beat LT,2012,45000,Diesel,Manual,3rd,Fair,Yes,0.0,4.0,1582.0,54.0,135000.0,Pune,BS-IV,Yes,Medium,144612.42,Dealer,No,,
97.0,BMW,BMW 7 Series,2009,35000,Petrol,Manual,1st,Poor,No,2.0,4.0,2458.0,74.0,1600000.0,Hyderabad,BS-III,No,High,1535517.5,Individual,No,,
98.0,Mahindra,Mahindra XUV500 W8,2013,38000,Diesel,Automatic,1st,Good,No,0.0,5.0,1915.0,162.0,701000.0,Kolkata,BS-IV,Yes,Medium,674436.72,Dealer,Yes,,
99.0,Hyundai,Hyundai i10 Magna,2014,18000,Petrol,Automatic,3rd,Good,No,0.0,4.0,1405.0,50.0,265000.0,Bangalore,BS-IV,Yes,Low,273365.6,Dealer,Yes,,
100.0,Hyundai,Hyundai Verna Fluidic,2015,35000,Diesel,Manual,4th+,Excellent,No,0.0,4.0,1181.0,82.0,525000.0,Hyderabad,BS-IV,Yes,Low,596017.61,Individual,No,,
101.0,Maruti,Maruti Suzuki Swift,2013,13349,Petrol,Automatic,1st,Fair,No,4.0,4.0,902.0,112.0,372000.0,Mumbai,BS-IV,Yes,Low,383842.91,Individual,No,,
102.0,Maruti,Maruti Suzuki Ertiga,2016,29000,Petrol,Automatic,2nd,Good,Yes,0.0,4.0,818.0,67.0,635000.0,Pune,BS-IV,Yes,Low,700220.51,Dealer,Yes,,
103.0,Ford,Ford EcoSport Titanium,2014,44000,Diesel,Automatic,3rd,Poor,No,1.0,4.0,1211.0,69.0,550000.0,Bangalore,BS-IV,No,Medium,533581.96,Individual,No,,
104.0,Maruti,Maruti Suzuki Ertiga,2016,29000,Petrol,Automatic,1st,Excellent,No,0.0,4.0,1002.0,57.0,575000.0,Bangalore,BS-IV,Yes,Medium,565269.34,Dealer,Yes,,
105.0,Maruti,Maruti Suzuki Ertiga,2013,42000,Diesel,Manual,3rd,Poor,Yes,2.0,4.0,897.0,72.0,485000.0,Hyderabad,BS-IV,No,Low,545206.24,Individual,No,,
106.0,Maruti,Maruti Suzuki Alto,2012,14000,Petrol,Automatic,3rd,Good,No,1.0,4.0,1389.0,115.0,155000.0,Pune,BS-IV,Yes,Low,138016.98,Dealer,Yes,,
107.0,Hyundai,Hyundai Grand i10,2014,49000,Diesel,Manual,4th+,Fair,Yes,1.0,4.0,1065.0,72.0,345000.0,Chennai,BS-IV,Yes,Medium,301350.77,Dealer,No,,
108.0,Honda,Honda Amaze 1.2,2014,42000,Petrol,Manual,2nd,Excellent,Yes,0.0,4.0,1730.0,117.0,325000.0,Chennai,BS-IV,Yes,Low,343200.81,Dealer,Yes,,
109.0,Hyundai,Hyundai i20 Asta,2012,36200,Diesel,Manual,2nd,Excellent,Yes,0.0,4.0,1225.0,66.0,329500.0,Hyderabad,BS-IV,Yes,Medium,287774.07,Dealer,Yes,,
110.0,Ford,Ford Figo Diesel,2014,50000,Diesel,Manual,1st,Excellent,No,0.0,4.0,1278.0,72.0,195000.0,Chennai,BS-IV,Yes,Medium,165884.98,Individual,No,,
111.0,Maruti,Maruti Suzuki Eeco,2015,55000,Petrol,Automatic,3rd,Good,No,0.0,4.0,1125.0,78.0,251111.0,Hyderabad,BS-IV,Yes,Medium,254459.94,Individual,No,,
112.0,Maruti,Maruti Suzuki Ertiga,2014,45000,Petrol,Automatic,3rd,Good,Yes,1.0,4.0,1261.0,91.0,569999.0,Delhi,BS-IV,Yes,Low,508077.84,Individual,No,,
113.0,Maruti,Maruti Suzuki Esteem,2007,51000,Petrol,Manual,1st,Excellent,No,2.0,4.0,1091.0,119.0,69999.0,Mumbai,BS-III,Yes,Medium,60233.85,Individual,No,,
114.0,Maruti,Maruti Suzuki Ritz,2014,19000,Petrol,Automatic,4th+,Poor,No,0.0,4.0,1225.0,79.0,299999.0,Kolkata,BS-IV,No,Medium,298725.69,Individual,No,,
115.0,Maruti,Maruti Suzuki Dzire,2009,46000,Petrol,Manual,3rd,Fair,No,0.0,4.0,1049.0,90.0,220000.0,Pune,BS-III,Yes,Low,225620.87,Individual,No,,
116.0,Maruti,Maruti Suzuki Ritz,2013,33000,Diesel,Manual,3rd,Poor,Yes,1.0,4.0,816.0,101.0,399999.0,Pune,BS-IV,No,Medium,442520.31,Individual,No,,
117.0,Maruti,Maruti Suzuki Swift,2013,13349,Petrol,Manual,2nd,Good,Yes,0.0,4.0,1097.0,78.0,372000.0,Bangalore,BS-IV,Yes,Low,393631.87,Individual,No,,
118.0,Maruti,Maruti Suzuki Dzire,2015,104000,Diesel,Manual,3rd,Fair,No,0.0,4.0,1312.0,67.0,450000.0,Pune,BS-IV,Yes,Low,412182.26,Individual,No,,
119.0,Toyota,Toyota Etios Liva,2014,55000,Petrol,Manual,1st,Excellent,Yes,1.0,4.0,2517.0,150.0,270000.0,Chennai,BS-IV,Yes,High,262769.05,Individual,No,,
120.0,Hyundai,Hyundai i20 Sportz,2011,33333,Diesel,Automatic,2nd,Fair,Yes,0.0,4.0,1472.0,78.0,350000.0,Pune,BS-IV,Yes,Low,362495.81,Dealer,No,,
121.0,Chevrolet,Chevrolet Spark,2012,33600,Petrol,Manual,2nd,Poor,Yes,1.0,4.0,1567.0,65.0,158400.0,Pune,BS-IV,No,Low,161871.38,Individual,No,,
122.0,Maruti,Maruti Suzuki Alto,2017,5600,Petrol,Manual,4th+,Excellent,Yes,1.0,4.0,1183.0,69.0,350000.0,Kolkata,BS-IV,Yes,Medium,324787.8,Individual,No,,
123.0,Nissan,Nissan Micra XV,2011,41000,Petrol,Automatic,2nd,Good,Yes,3.0,4.0,1951.0,119.0,179000.0,Kolkata,BS-IV,Yes,Low,197813.31,Individual,No,,
124.0,Maruti,Maruti Suzuki Swift,2007,70000,Petrol,Manual,4th+,Poor,Yes,1.0,4.0,829.0,111.0,125000.0,Delhi,BS-III,No,Medium,138199.67,Dealer,No,,
125.0,Maruti,Maruti Suzuki Alto,2018,7500,Petrol,Manual,1st,Poor,No,3.0,4.0,939.0,62.0,200000.0,Mumbai,BS-IV,No,Low,196566.52,Dealer,No,,
126.0,Honda,Honda Amaze 1.5,2013,45000,Diesel,Manual,1st,Poor,No,0.0,4.0,2741.0,142.0,299000.0,Pune,BS-IV,No,Medium,274710.95,Dealer,No,,
127.0,Maruti,Maruti Suzuki Alto,2015,38000,Petrol,Manual,3rd,Excellent,Yes,0.0,4.0,1252.0,107.0,220000.0,Mumbai,BS-IV,Yes,Low,243191.44,Dealer,Yes,,
128.0,Chevrolet,Chevrolet Beat,2015,30000,Petrol,Automatic,1st,Poor,Yes,0.0,4.0,819.0,65.0,150000.0,Hyderabad,BS-IV,No,Medium,164803.38,Individual,No,,
129.0,Honda,Honda City 1.5,2010,35000,Petrol,Automatic,1st,Good,Yes,1.0,4.0,1668.0,233.0,285000.0,Mumbai,BS-IV,Yes,Low,243398.86,Dealer,Yes,,
130.0,Ford,Ford EcoSport Trend,2016,24330,Diesel,Manual,2nd,Fair,No,0.0,4.0,1568.0,71.0,830000.0,Kolkata,BS-IV,Yes,High,916865.22,Individual,No,,
131.0,Hyundai,Hyundai i20 Asta,2009,65480,Petrol,Manual,4th+,Excellent,Yes,0.0,4.0,1139.0,80.0,210000.0,Delhi,BS-III,Yes,Medium,229504.62,Individual,No,,
132.0,Maruti,Maruti Suzuki Swift,2013,41000,Petrol,Automatic,4th+,Poor,Yes,0.0,4.0,824.0,104.0,340000.0,Bangalore,BS-IV,No,Medium,373190.26,Individual,No,,
133.0,Tata,Tata Indica V2,2006,20000,Petrol,Automatic,2nd,Poor,No,1.0,4.0,815.0,116.0,90000.0,Delhi,BS-III,No,Medium,90428.4,Dealer,No,,
134.0,Hindustan,Hindustan Motors Ambassador,2000,200000,Diesel,Automatic,4th+,Poor,Yes,0.0,4.0,1370.0,176.0,70000.0,Hyderabad,BS-II,No,High,75583.14,Individual,No,,
135.0,Toyota,Toyota Corolla Altis,2010,70000,Petrol,Manual,4th+,Excellent,No,0.0,4.0,2514.0,195.0,289999.0,Pune,BS-IV,Yes,Medium,287262.98,Dealer,Yes,,
136.0,Toyota,Toyota Corolla Altis,2012,59000,Petrol,Manual,2nd,Good,Yes,0.0,4.0,2649.0,200.0,349999.0,Pune,BS-IV,Yes,Low,320566.64,Dealer,Yes,,
