car_id,company,model,year,kms_driven,fuel_type,transmission,owner,car_condition,insurance_status,previous_accidents,num_doors,engine_size,power,price,city,emission_norm,insurance_eligible,maintenance_level,predicted_price,listing_type,is_certified,car_age
12.0,Toyota,Yaris,2012,154256.0,Diesel,Manual,1St,Fair,Yes,0.0,2.0,928.0,229.0,65671.0,Mumbai,Bs6,True,Low,65671.0,Private,False,13
13.0,Hyundai,Verna,2023,151050.0,Electric,Manual,4Th,Fair,Yes,0.0,2.0,3499.0,280.0,377149.0,Bangalore,Bs4,True,Medium,377149.0,Private,True,2
14.0,Mahindra,Thar,2006,105544.0,Cng,Manual,2Nd,Excellent,Yes,1.0,2.0,2528.0,153.0,106487.0,Bangalore,Bs4,True,Low,106487.0,Dealer,False,19
15.0,Toyota,Fortuner,2006,170955.0,Hybrid,Manual,1St,Poor,No,2.0,2.0,2464.0,308.0,30106.0,Chennai,Bs3,False,Medium,30106.0,Dealer,True,19
16.0,Tata,Tiago,2019,74776.0,Electric,Automatic,2Nd,Excellent,Yes,0.0,2.0,3172.0,337.0,429560.0,Mumbai,Bs6,True,Medium,429560.0,Dealer,True,6
17.0,Toyota,Yaris,2010,14910.0,Hybrid,Manual,2Nd,Excellent,Yes,0.0,2.0,2453.0,121.0,172877.0,Hyderabad,Bs3,True,High,172877.0,Dealer,True,15
18.0,Toyota,Yaris,2021,82934.0,Cng,Manual,3Rd,Excellent,Yes,0.0,5.0,3443.0,213.0,363379.0,Chennai,Bs4,True,Low,363379.0,Dealer,False,4
19.0,Toyota,Fortuner,2007,140937.0,Diesel,Automatic,2Nd,Poor,No,3.0,2.0,2313.0,205.0,31543.0,Delhi,Bs4,False,High,31543.0,Private,True,18
20.0,Toyota,Innova,2008,246134.0,Diesel,Automatic,1St,Fair,Yes,1.0,2.0,1915.0,204.0,20000.0,Hyderabad,Bs3,True,High,20000.0,Private,True,17
21.0,Honda,Wr-V,2020,65829.0,Petrol,Manual,4Th,Fair,Yes,0.0,4.0,3958.0,126.0,277968.0,Bangalore,Bs3,True,High,277968.0,Private,False,5
22.0,Maruti,Swift,2009,143023.0,Petrol,Automatic,2Nd,Good,Yes,0.0,4.0,963.0,243.0,71295.0,Delhi,Bs6,True,Low,71295.0,Dealer,False,16
23.0,Tata,Harrier,2009,242683.0,Diesel,Manual,2Nd,Fair,Yes,0.0,5.0,2160.0,270.0,20000.0,Delhi,Bs4,True,Low,20000.0,Dealer,False,16
24.0,Tata,Nexon,2011,214063.0,Electric,Automatic,3Rd,Fair,Yes,3.0,2.0,896.0,397.0,48063.0,Delhi,Bs4,True,Medium,48063.0,Private,True,14
25.0,Honda,Amaze,2025,133537.0,Electric,Automatic,1St,Excellent,Yes,5.0,2.0,3178.0,195.0,609850.0,Mumbai,Bs3,True,High,609850.0,Private,False,0
26.0,Honda,Amaze,2024,134066.0,Petrol,Automatic,2Nd,Excellent,Yes,1.0,2.0,2929.0,335.0,427762.0,Delhi,Bs4,True,Medium,427762.0,Dealer,False,1
27.0,Mahindra,Thar,2014,132939.0,Cng,Automatic,3Rd,Good,Yes,0.0,2.0,1585.0,275.0,144158.0,Chennai,Bs6,True,High,144158.0,Dealer,False,11
28.0,Maruti,Baleno,2014,55098.0,Electric,Automatic,4Th,Good,Yes,1.0,5.0,2738.0,146.0,248889.0,Mumbai,Bs4,True,High,248889.0,Private,True,11
29.0,Hyundai,Verna,2014,58888.0,Diesel,Manual,1St,Excellent,Yes,5.0,5.0,3947.0,97.0,195429.0,Chennai,Bs4,True,High,195429.0,Dealer,False,11
30.0,Hyundai,I20,2025,180256.0,Petrol,Manual,4Th,Excellent,Yes,2.0,5.0,2921.0,297.0,415622.0,Mumbai,Bs6,True,Low,415622.0,Dealer,False,0
31.0,Tata,Harrier,2021,146518.0,Hybrid,Automatic,4Th,Good,Yes,1.0,5.0,2547.0,340.0,369418.0,Chennai,Bs3,True,High,369418.0,Private,False,4
32.0,Hyundai,Verna,2013,200753.0,Hybrid,Automatic,2Nd,Excellent,Yes,0.0,4.0,1760.0,199.0,150120.0,Bangalore,Bs4,True,High,150120.0,Dealer,True,12
33.0,Tata,Harrier,2009,185183.0,Diesel,Manual,4Th,Good,Yes,1.0,4.0,1055.0,165.0,42098.0,Chennai,Bs4,True,High,42098.0,Dealer,False,16
34.0,Honda,Amaze,2017,223726.0,Electric,Manual,4Th,Excellent,Yes,0.0,2.0,2392.0,232.0,265443.0,Chennai,Bs6,True,Low,265443.0,Private,True,8
35.0,Toyota,Fortuner,2017,155161.0,Hybrid,Manual,1St,Good,Yes,0.0,4.0,1544.0,85.0,250361.0,Bangalore,Bs4,True,Medium,250361.0,Dealer,False,8
36.0,Tata,Tiago,2018,66131.0,Petrol,Automatic,1St,Fair,Yes,0.0,4.0,1718.0,392.0,244967.0,Mumbai,Bs6,True,Low,244967.0,Dealer,True,7
37.0,Maruti,Dzire,2009,62533.0,Diesel,Automatic,1St,Good,Yes,0.0,5.0,1849.0,248.0,114104.0,Delhi,Bs6,True,High,114104.0,Dealer,True,16
38.0,Maruti,Dzire,2005,243502.0,Cng,Automatic,4Th,Poor,No,0.0,5.0,3628.0,381.0,20000.0,Delhi,Bs3,False,High,20000.0,Private,True,20
39.0,Toyota,Fortuner,2016,139655.0,Electric,Automatic,1St,Good,Yes,0.0,4.0,2807.0,114.0,240011.0,Chennai,Bs4,True,High,240011.0,Private,True,9
40.0,Mahindra,Scorpio,2025,70800.0,Hybrid,Automatic,4Th,Good,Yes,1.0,4.0,2120.0,185.0,564108.0,Mumbai,Bs4,True,Medium,564108.0,Dealer,False,0
41.0,Mahindra,Xuv500,2015,7523.0,Electric,Automatic,2Nd,Good,Yes,0.0,4.0,2194.0,203.0,270708.0,Hyderabad,Bs6,True,Medium,270708.0,Dealer,True,10
42.0,Mahindra,Xuv500,2020,145536.0,Diesel,Automatic,4Th,Good,Yes,0.0,4.0,1707.0,267.0,276377.0,Delhi,Bs4,True,High,276377.0,Private,False,5
43.0,Honda,Amaze,2022,86714.0,Cng,Automatic,3Rd,Good,Yes,0.0,5.0,1588.0,221.0,366389.0,Mumbai,Bs6,True,High,366389.0,Dealer,True,3
44.0,Tata,Tiago,2023,199283.0,Hybrid,Automatic,1St,Fair,Yes,0.0,4.0,1534.0,214.0,354992.0,Mumbai,Bs6,True,High,354992.0,Dealer,False,2
45.0,Maruti,Dzire,2014,182823.0,Diesel,Automatic,1St,Fair,Yes,1.0,4.0,2760.0,285.0,95746.0,Bangalore,Bs3,True,Low,95746.0,Private,False,11
46.0,Maruti,Baleno,2020,19420.0,Hybrid,Manual,2Nd,Excellent,Yes,1.0,4.0,1148.0,187.0,460452.0,Mumbai,Bs6,True,Medium,460452.0,Dealer,False,5
47.0,Tata,Tiago,2023,112415.0,Cng,Manual,1St,Poor,No,0.0,2.0,1883.0,398.0,240369.0,Mumbai,Bs3,False,Low,240369.0,Dealer,True,2
48.0,Tata,Tiago,2024,123184.0,Cng,Manual,2Nd,Excellent,Yes,0.0,4.0,1091.0,179.0,408811.0,Bangalore,Bs6,True,High,408811.0,Dealer,False,1
49.0,Hyundai,Verna,2009,238134.0,Cng,Manual,1St,Excellent,Yes,2.0,5.0,3867.0,351.0,38519.0,Bangalore,Bs4,True,Low,38519.0,Private,False,16
50.0,Honda,Wr-V,2022,129445.0,Electric,Manual,1St,Fair,Yes,1.0,5.0,1825.0,73.0,366944.0,Mumbai,Bs3,True,High,366944.0,Dealer,False,3
51.0,Hyundai,Creta,2021,170789.0,Electric,Automatic,2Nd,Poor,No,0.0,4.0,1173.0,300.0,264104.0,Bangalore,Bs4,False,Medium,264104.0,Private,True,4
52.0,Honda,Amaze,2020,75554.0,Electric,Manual,4Th,Excellent,Yes,0.0,2.0,3964.0,266.0,396462.0,Hyderabad,Bs3,True,High,396462.0,Private,False,5
53.0,Toyota,Innova,2024,198297.0,Electric,Automatic,1St,Excellent,Yes,1.0,4.0,2594.0,308.0,517384.0,Mumbai,Bs3,True,High,517384.0,Dealer,True,1
54.0,Maruti,Dzire,2018,24434.0,Diesel,Manual,4Th,Poor,No,1.0,2.0,2841.0,209.0,211392.0,Hyderabad,Bs6,False,Medium,211392.0,Private,False,7
55.0,Hyundai,Creta,2022,37917.0,Electric,Manual,2Nd,Fair,Yes,0.0,4.0,2192.0,319.0,416631.0,Bangalore,Bs3,True,Medium,416631.0,Private,False,3
56.0,Tata,Harrier,2020,90472.0,Cng,Automatic,4Th,Poor,No,3.0,5.0,1778.0,352.0,216964.0,Chennai,Bs3,False,Medium,216964.0,Dealer,False,5
57.0,Mahindra,Xuv500,2017,173982.0,Diesel,Automatic,1St,Excellent,Yes,4.0,4.0,1211.0,285.0,240782.0,Mumbai,Bs6,True,Medium,240782.0,Dealer,True,8
58.0,Mahindra,Thar,2007,123074.0,Cng,Automatic,4Th,Good,Yes,3.0,5.0,2985.0,254.0,86180.0,Bangalore,Bs6,True,High,86180.0,Private,True,18
59.0,Hyundai,Verna,2014,59634.0,Petrol,Automatic,1St,Fair,Yes,1.0,2.0,2617.0,145.0,160830.0,Bangalore,Bs3,True,Low,160830.0,Private,True,11
60.0,Honda,Amaze,2009,64014.0,Hybrid,Automatic,2Nd,Excellent,Yes,0.0,4.0,3338.0,183.0,159599.0,Chennai,Bs6,True,Low,159599.0,Dealer,False,16
61.0,Tata,Tiago,2005,235643.0,Electric,Automatic,2Nd,Excellent,No,4.0,5.0,2025.0,387.0,65494.0,Chennai,Bs6,False,Medium,65494.0,Private,False,20
62.0,Tata,Tiago,2008,62182.0,Electric,Automatic,3Rd,Poor,No,0.0,5.0,2421.0,200.0,102195.0,Mumbai,Bs6,False,High,102195.0,Dealer,False,17
63.0,Honda,City,2024,210221.0,Cng,Manual,2Nd,Good,Yes,1.0,5.0,3943.0,397.0,325931.0,Delhi,Bs6,True,Low,325931.0,Dealer,False,1
64.0,Maruti,Dzire,2016,191983.0,Diesel,Manual,3Rd,Good,Yes,0.0,2.0,1341.0,336.0,152738.0,Bangalore,Bs6,True,High,152738.0,Private,True,9
65.0,Tata,Tiago,2015,210824.0,Petrol,Automatic,1St,Excellent,Yes,4.0,5.0,3766.0,263.0,153468.0,Hyderabad,Bs4,True,Low,153468.0,Private,True,10
66.0,Maruti,Baleno,2016,176377.0,Cng,Automatic,3Rd,Excellent,Yes,0.0,2.0,3337.0,347.0,221400.0,Bangalore,Bs6,True,Low,221400.0,Dealer,False,9
67.0,Honda,Wr-V,2018,30585.0,Diesel,Manual,1St,Good,Yes,0.0,2.0,1761.0,335.0,273861.0,Delhi,Bs4,True,Medium,273861.0,Private,False,7
68.0,Mahindra,Thar,2018,171683.0,Petrol,Automatic,4Th,Poor,No,0.0,5.0,2317.0,171.0,146639.0,Chennai,Bs4,False,Low,146639.0,Private,True,7
69.0,Honda,Wr-V,2025,94024.0,Petrol,Automatic,3Rd,Excellent,Yes,0.0,4.0,1175.0,399.0,482244.0,Delhi,Bs6,True,High,482244.0,Dealer,True,0
70.0,Hyundai,I20,2023,53793.0,Petrol,Manual,2Nd,Fair,Yes,0.0,2.0,3241.0,61.0,329440.0,Bangalore,Bs3,True,Low,329440.0,Private,True,2
71.0,Maruti,Swift,2005,93911.0,Diesel,Automatic,1St,Excellent,No,0.0,5.0,2524.0,329.0,123017.0,Mumbai,Bs6,False,Low,123017.0,Private,False,20
72.0,Toyota,Yaris,2008,118490.0,Hybrid,Manual,1St,Fair,Yes,3.0,5.0,2935.0,214.0,89756.0,Chennai,Bs6,True,Low,89756.0,Dealer,False,17
73.0,Tata,Harrier,2008,128521.0,Electric,Manual,1St,Good,Yes,0.0,2.0,1926.0,379.0,107453.0,Hyderabad,Bs6,True,High,107453.0,Private,False,17
74.0,Toyota,Innova,2019,132527.0,Hybrid,Automatic,1St,Fair,Yes,0.0,5.0,3466.0,342.0,273912.0,Delhi,Bs4,True,Medium,273912.0,Dealer,False,6
75.0,Tata,Tiago,2018,191263.0,Petrol,Automatic,4Th,Good,Yes,0.0,2.0,3613.0,302.0,213840.0,Mumbai,Bs3,True,Low,213840.0,Dealer,False,7
76.0,Mahindra,Xuv500,2009,145849.0,Petrol,Automatic,1St,Good,Yes,3.0,4.0,3753.0,86.0,74216.0,Bangalore,Bs6,True,Medium,74216.0,Private,True,16
77.0,Hyundai,I20,2020,58784.0,Petrol,Automatic,3Rd,Excellent,Yes,0.0,2.0,2557.0,347.0,349563.0,Hyderabad,Bs6,True,High,349563.0,Dealer,False,5
78.0,Honda,Wr-V,2014,241575.0,Cng,Automatic,1St,Excellent,Yes,0.0,5.0,2441.0,95.0,116436.0,Delhi,Bs6,True,High,116436.0,Dealer,True,11
79.0,Hyundai,Creta,2018,118920.0,Cng,Manual,3Rd,Good,Yes,0.0,5.0,3242.0,103.0,240666.0,Mumbai,Bs3,True,Low,240666.0,Dealer,True,7
80.0,Mahindra,Xuv500,2020,159141.0,Electric,Automatic,3Rd,Excellent,Yes,1.0,4.0,2560.0,116.0,384981.0,Bangalore,Bs6,True,High,384981.0,Private,False,5
81.0,Tata,Harrier,2006,2015.0,Diesel,Automatic,2Nd,Fair,Yes,2.0,4.0,2143.0,121.0,126387.0,Mumbai,Bs4,True,High,126387.0,Private,True,19
82.0,Toyota,Yaris,2012,131140.0,Hybrid,Automatic,1St,Good,Yes,1.0,4.0,876.0,295.0,147168.0,Mumbai,Bs4,True,High,147168.0,Private,False,13
83.0,Tata,Tiago,2008,106176.0,Petrol,Automatic,2Nd,Fair,Yes,1.0,5.0,2282.0,105.0,73214.0,Chennai,Bs3,True,Low,73214.0,Private,False,17
84.0,Tata,Tiago,2015,58083.0,Cng,Manual,1St,Good,Yes,0.0,5.0,1594.0,238.0,193503.0,Bangalore,Bs6,True,High,193503.0,Dealer,True,10
85.0,Honda,City,2010,157915.0,Diesel,Manual,2Nd,Poor,No,1.0,4.0,3890.0,348.0,20000.0,Hyderabad,Bs4,False,High,20000.0,Private,False,15
86.0,Maruti,Baleno,2019,165513.0,Cng,Automatic,1St,Good,Yes,0.0,4.0,2651.0,79.0,268525.0,Mumbai,Bs4,True,Medium,268525.0,Dealer,True,6
87.0,Toyota,Innova,2019,152129.0,Hybrid,Manual,4Th,Poor,No,1.0,2.0,2116.0,369.0,186111.0,Chennai,Bs6,False,Low,186111.0,Dealer,False,6
88.0,Honda,Wr-V,2007,132264.0,Diesel,Manual,2Nd,Fair,Yes,5.0,5.0,2941.0,372.0,50395.0,Delhi,Bs4,True,Medium,50395.0,Private,False,18
89.0,Honda,Wr-V,2024,13727.0,Cng,Manual,3Rd,Excellent,Yes,1.0,4.0,1832.0,396.0,492880.0,Hyderabad,Bs3,True,Medium,492880.0,Dealer,True,1
90.0,Honda,Wr-V,2017,33803.0,Hybrid,Manual,3Rd,Good,Yes,1.0,4.0,1323.0,329.0,306909.0,Mumbai,Bs6,True,High,306909.0,Private,False,8
91.0,Honda,City,2011,89583.0,Electric,Manual,2Nd,Poor,No,0.0,4.0,1214.0,319.0,77826.0,Hyderabad,Bs6,False,High,77826.0,Dealer,False,14
92.0,Toyota,Fortuner,2024,98754.0,Diesel,Manual,2Nd,Fair,Yes,2.0,2.0,3753.0,284.0,354036.0,Mumbai,Bs4,True,Medium,354036.0,Dealer,False,1
93.0,Mahindra,Xuv500,2012,139987.0,Diesel,Automatic,4Th,Poor,No,0.0,5.0,3136.0,285.0,53229.0,Chennai,Bs4,False,Medium,53229.0,Private,True,13
94.0,Toyota,Fortuner,2013,13678.0,Electric,Automatic,1St,Fair,Yes,1.0,2.0,1967.0,102.0,182663.0,Delhi,Bs4,True,Medium,182663.0,Dealer,False,12
95.0,Hyundai,Creta,2016,243917.0,Petrol,Automatic,1St,Good,Yes,0.0,4.0,1134.0,251.0,140140.0,Delhi,Bs3,True,Medium,140140.0,Dealer,False,9
96.0,Hyundai,I20,2014,240489.0,Electric,Manual,4Th,Good,Yes,0.0,2.0,877.0,191.0,124472.0,Delhi,Bs3,True,High,124472.0,Private,True,11
97.0,Hyundai,Creta,2008,12517.0,Diesel,Automatic,4Th,Excellent,Yes,2.0,4.0,3244.0,334.0,155665.0,Mumbai,Bs6,True,High,155665.0,Dealer,True,17
98.0,Maruti,Dzire,2016,63062.0,Hybrid,Automatic,2Nd,Good,Yes,0.0,4.0,1077.0,329.0,295196.0,Hyderabad,Bs6,True,High,295196.0,Dealer,False,9
99.0,Maruti,Dzire,2017,97858.0,Cng,Manual,3Rd,Fair,Yes,0.0,5.0,3491.0,381.0,191588.0,Mumbai,Bs6,True,High,191588.0,Private,True,8
100.0,Toyota,Innova,2025,45898.0,Electric,Automatic,2Nd,Fair,Yes,0.0,4.0,951.0,210.0,492376.0,Delhi,Bs3,True,Low,492376.0,Dealer,False,0
101.0,Toyota,Innova,2022,124098.0,Cng,Manual,2Nd,Excellent,Yes,3.0,2.0,3485.0,229.0,386352.0,Bangalore,Bs3,True,Medium,386352.0,Private,False,3
102.0,Tata,Tiago,2010,130076.0,Electric,Automatic,3Rd,Fair,Yes,1.0,2.0,2563.0,368.0,76916.0,Delhi,Bs6,True,Medium,76916.0,Private,True,15
103.0,Mahindra,Xuv500,2014,116894.0,Hybrid,Automatic,2Nd,Good,Yes,0.0,2.0,3777.0,240.0,203666.0,Hyderabad,Bs4,True,Medium,203666.0,Dealer,True,11
104.0,Tata,Tiago,2021,210002.0,Diesel,Manual,2Nd,Fair,Yes,1.0,4.0,942.0,124.0,227063.0,Mumbai,Bs3,True,High,227063.0,Private,False,4
105.0,Toyota,Fortuner,2024,40222.0,Electric,Automatic,3Rd,Good,Yes,0.0,2.0,2968.0,247.0,543345.0,Chennai,Bs4,True,High,543345.0,Private,True,1
106.0,Maruti,Dzire,2010,130821.0,Hybrid,Automatic,1St,Excellent,Yes,0.0,4.0,1678.0,373.0,122168.0,Bangalore,Bs6,True,Medium,122168.0,Dealer,True,15
107.0,Maruti,Baleno,2010,235583.0,Electric,Manual,3Rd,Good,Yes,1.0,5.0,3020.0,208.0,49215.0,Bangalore,Bs3,True,High,49215.0,Dealer,False,15
108.0,Maruti,Swift,2009,62058.0,Electric,Manual,3Rd,Good,Yes,0.0,5.0,1331.0,373.0,139508.0,Mumbai,Bs3,True,Medium,139508.0,Private,False,16
109.0,Tata,Harrier,2007,32853.0,Cng,Manual,4Th,Good,Yes,1.0,2.0,3995.0,342.0,124442.0,Hyderabad,Bs3,True,Low,124442.0,Private,True,18
110.0,Toyota,Fortuner,2014,43163.0,Diesel,Automatic,2Nd,Good,Yes,4.0,4.0,1123.0,188.0,189396.0,Delhi,Bs6,True,High,189396.0,Private,True,11
111.0,Toyota,Yaris,2007,131746.0,Diesel,Manual,2Nd,Good,Yes,1.0,5.0,2182.0,348.0,78019.0,Mumbai,Bs3,True,Low,78019.0,Dealer,False,18
112.0,Toyota,Innova,2024,167507.0,Petrol,Automatic,3Rd,Good,Yes,0.0,2.0,3605.0,267.0,375795.0,Bangalore,Bs4,True,Low,375795.0,Dealer,True,1
113.0,Tata,Tiago,2011,89179.0,Hybrid,Manual,3Rd,Fair,Yes,0.0,4.0,2433.0,126.0,99900.0,Bangalore,Bs6,True,High,99900.0,Dealer,False,14
114.0,Maruti,Baleno,2019,64990.0,Diesel,Manual,1St,Excellent,Yes,0.0,5.0,2512.0,187.0,319530.0,Delhi,Bs4,True,High,319530.0,Private,True,6
115.0,Tata,Harrier,2019,130746.0,Cng,Automatic,1St,Excellent,Yes,0.0,4.0,1786.0,170.0,305612.0,Hyderabad,Bs4,True,Low,305612.0,Dealer,False,6
116.0,Mahindra,Scorpio,2020,74907.0,Hybrid,Manual,1St,Good,Yes,3.0,5.0,2298.0,266.0,373962.0,Bangalore,Bs3,True,Medium,373962.0,Dealer,True,5
117.0,Honda,City,2017,132187.0,Electric,Automatic,1St,Excellent,Yes,0.0,4.0,2188.0,345.0,305543.0,Bangalore,Bs3,True,Low,305543.0,Private,True,8
118.0,Hyundai,Verna,2015,210754.0,Electric,Automatic,2Nd,Good,Yes,1.0,4.0,3311.0,223.0,172656.0,Delhi,Bs4,True,High,172656.0,Private,False,10
119.0,Toyota,Yaris,2020,185791.0,Hybrid,Automatic,4Th,Fair,Yes,0.0,5.0,1248.0,273.0,279933.0,Hyderabad,Bs4,True,High,279933.0,Dealer,False,5
120.0,Mahindra,Scorpio,2023,59649.0,Petrol,Automatic,2Nd,Good,Yes,1.0,4.0,1405.0,184.0,395208.0,Mumbai,Bs6,True,High,395208.0,Dealer,True,2
121.0,Honda,Amaze,2009,108255.0,Diesel,Automatic,4Th,Fair,Yes,1.0,2.0,3690.0,130.0,73457.0,Hyderabad,Bs3,True,High,73457.0,Private,False,16
122.0,Honda,City,2019,239107.0,Hybrid,Automatic,3Rd,Good,Yes,3.0,5.0,3434.0,195.0,283644.0,Hyderabad,Bs4,True,Low,283644.0,Dealer,False,6
123.0,Hyundai,Creta,2014,184785.0,Diesel,Automatic,3Rd,Good,Yes,1.0,5.0,1920.0,207.0,137972.0,Mumbai,Bs6,True,High,137972.0,Private,False,11
124.0,Hyundai,Creta,2006,75400.0,Petrol,Automatic,4Th,Good,Yes,1.0,2.0,1627.0,335.0,102597.0,Bangalore,Bs6,True,High,102597.0,Private,True,19
125.0,Mahindra,Scorpio,2012,63558.0,Petrol,Manual,2Nd,Excellent,Yes,0.0,5.0,2734.0,111.0,142343.0,Delhi,Bs3,True,High,142343.0,Dealer,False,13
126.0,Tata,Tiago,2025,52286.0,Cng,Automatic,3Rd,Good,Yes,3.0,2.0,3471.0,353.0,433105.0,Delhi,Bs6,True,High,433105.0,Dealer,True,0
127.0,Hyundai,I20,2017,206559.0,Electric,Manual,3Rd,Fair,Yes,0.0,5.0,3268.0,114.0,203774.0,Bangalore,Bs4,True,Medium,203774.0,Private,True,8
128.0,Tata,Tiago,2011,212025.0,Petrol,Automatic,2Nd,Fair,Yes,1.0,5.0,1562.0,67.0,25207.0,Bangalore,Bs4,True,High,25207.0,Dealer,True,14
129.0,Mahindra,Xuv500,2018,135077.0,Cng,Manual,4Th,Good,Yes,0.0,2.0,2755.0,225.0,217585.0,Delhi,Bs3,True,Medium,217585.0,Private,True,7
130.0,Honda,Amaze,2014,152688.0,Hybrid,Manual,3Rd,Good,Yes,1.0,2.0,3535.0,120.0,171280.0,Chennai,Bs4,True,Low,171280.0,Private,False,11
131.0,Mahindra,Xuv500,2016,161120.0,Diesel,Manual,2Nd,Good,Yes,0.0,5.0,2330.0,272.0,173923.0,Hyderabad,Bs4,True,High,173923.0,Dealer,True,9
132.0,Toyota,Fortuner,2021,117112.0,Hybrid,Automatic,1St,Poor,No,0.0,5.0,2870.0,163.0,284049.0,Hyderabad,Bs6,False,Low,284049.0,Dealer,False,4
133.0,Tata,Nexon,2011,187935.0,Hybrid,Automatic,1St,Fair,Yes,0.0,2.0,2657.0,127.0,61383.0,Hyderabad,Bs4,True,Medium,61383.0,Dealer,False,14
134.0,Honda,Wr-V,2005,103795.0,Cng,Manual,2Nd,Good,No,0.0,4.0,3668.0,92.0,81549.0,Hyderabad,Bs3,False,Low,81549.0,Private,True,20
135.0,Hyundai,I20,2025,191178.0,Electric,Automatic,4Th,Good,Yes,3.0,4.0,2338.0,101.0,458668.0,Hyderabad,Bs3,True,High,458668.0,Private,True,0
136.0,Toyota,Innova,2021,33383.0,Diesel,Manual,1St,Poor,No,0.0,5.0,3030.0,277.0,241869.0,Hyderabad,Bs4,False,Low,241869.0,Dealer,False,4
137.0,Honda,City,2008,8445.0,Electric,Manual,2Nd,Excellent,Yes,0.0,2.0,2628.0,366.0,183624.0,Mumbai,Bs3,True,High,183624.0,Dealer,False,17
138.0,Toyota,Fortuner,2006,36735.0,Hybrid,Automatic,2Nd,Fair,Yes,1.0,4.0,3165.0,366.0,136022.0,Bangalore,Bs3,True,Medium,136022.0,Dealer,True,19
139.0,Honda,City,2022,248648.0,Hybrid,Manual,4Th,Good,Yes,0.0,4.0,3435.0,255.0,323004.0,Hyderabad,Bs4,True,High,323004.0,Private,False,3
140.0,Tata,Nexon,2022,124130.0,Diesel,Manual,3Rd,Fair,Yes,0.0,4.0,1036.0,347.0,269192.0,Chennai,Bs4,True,High,269192.0,Dealer,False,3
141.0,Hyundai,Creta,2025,20727.0,Electric,Automatic,1St,Good,Yes,2.0,2.0,1899.0,253.0,579753.0,Hyderabad,Bs6,True,Low,579753.0,Dealer,True,0
142.0,Toyota,Yaris,2022,56889.0,Electric,Manual,3Rd,Good,Yes,3.0,2.0,1578.0,120.0,449610.0,Chennai,Bs3,True,High,449610.0,Dealer,False,3
143.0,Toyota,Innova,2014,99788.0,Electric,Automatic,3Rd,Excellent,Yes,1.0,4.0,2708.0,110.0,231166.0,Chennai,Bs4,True,Low,231166.0,Private,False,11
144.0,Toyota,Fortuner,2009,4251.0,Cng,Automatic,3Rd,Excellent,Yes,0.0,4.0,3133.0,185.0,159522.0,Chennai,Bs6,True,High,159522.0,Private,False,16
145.0,Tata,Harrier,2025,193880.0,Electric,Automatic,2Nd,Fair,Yes,0.0,2.0,3750.0,339.0,424149.0,Chennai,Bs3,True,High,424149.0,Dealer,True,0
146.0,Maruti,Dzire,2006,200366.0,Petrol,Automatic,2Nd,Fair,Yes,0.0,5.0,1418.0,64.0,24752.0,Delhi,Bs6,True,Medium,24752.0,Private,True,19
147.0,Mahindra,Scorpio,2020,172827.0,Electric,Manual,1St,Good,Yes,0.0,2.0,2968.0,200.0,306562.0,Hyderabad,Bs4,True,Low,306562.0,Private,True,5
